date,NIS,age,dose,fraction,E_susc,E_inf,E_hosp
2020-12-28,30000,"[18, 25)",first,0.0,0.0,0.0,0.0
2020-12-28,30000,"[18, 25)",full,0.0,0.0,0.0,0.0
2020-12-28,30000,"[18, 25)",none,1.0,1.0,1.0,1.0
2020-12-28,30000,"[18, 25)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,30000,"[25, 35)",booster,0.0,0.0,0.0,0.0
2020-12-28,30000,"[25, 35)",first,8.618708342909675e-05,0.0,0.0,0.0
2020-12-28,30000,"[25, 35)",full,0.0,0.0,0.0,0.0
2020-12-28,30000,"[25, 35)",none,0.9999138129165709,1.0,1.0,1.0
2020-12-28,30000,"[25, 35)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,30000,"[35, 45)",booster,0.0,0.0,0.0,0.0
2020-12-28,30000,"[35, 45)",first,0.0002696469753414937,0.0,0.0,0.0
2020-12-28,30000,"[35, 45)",full,0.0,0.0,0.0,0.0
2020-12-28,30000,"[35, 45)",none,0.9997303530246585,1.0,1.0,1.0
2020-12-28,30000,"[35, 45)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,30000,"[45, 55)",booster,0.0,0.0,0.0,0.0
2020-12-28,30000,"[45, 55)",first,0.0006149221098660836,0.0,0.0,0.0
2020-12-28,30000,"[45, 55)",full,0.0,0.0,0.0,0.0
2020-12-28,30000,"[45, 55)",none,0.9993850778901339,1.0,1.0,1.0
2020-12-28,30000,"[45, 55)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,30000,"[55, 65)",booster,0.0,0.0,0.0,0.0
2020-12-28,30000,"[55, 65)",first,0.0008086943368124645,0.0,0.0,0.0
2020-12-28,30000,"[55, 65)",full,0.0,0.0,0.0,0.0
2020-12-28,30000,"[55, 65)",none,0.9991913056631876,1.0,1.0,1.0
2020-12-28,30000,"[55, 65)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,30000,"[65, 75)",booster,0.0,0.0,0.0,0.0
2020-12-28,30000,"[65, 75)",first,0.0006802434850907459,0.0,0.0,0.0
2020-12-28,30000,"[65, 75)",full,0.0,0.0,0.0,0.0
2020-12-28,30000,"[65, 75)",none,0.9993197565149092,1.0,1.0,1.0
2020-12-28,30000,"[65, 75)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,30000,"[75, 85)",booster,0.0,0.0,0.0,0.0
2020-12-28,30000,"[75, 85)",first,0.006171992867919353,0.0,0.0,0.0
2020-12-28,30000,"[75, 85)",full,0.0,0.0,0.0,0.0
2020-12-28,30000,"[75, 85)",none,0.9938280071320806,1.0,1.0,1.0
2020-12-28,30000,"[75, 85)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,30000,"[85, 120)",booster,0.0,0.0,0.0,0.0
2020-12-28,30000,"[85, 120)",first,0.03134733912121412,0.0,0.0,0.0
2020-12-28,30000,"[85, 120)",full,0.0,0.0,0.0,0.0
2020-12-28,30000,"[85, 120)",none,0.9686526608787859,1.0,1.0,1.0
2020-12-28,30000,"[85, 120)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,40000,"[0, 12)",booster,0.0,0.0,0.0,0.0
2020-12-28,40000,"[0, 12)",first,0.0,0.0,0.0,0.0
2020-12-28,40000,"[0, 12)",full,0.0,0.0,0.0,0.0
2020-12-28,40000,"[0, 12)",none,1.0,1.0,1.0,1.0
2020-12-28,40000,"[0, 12)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,40000,"[12, 18)",booster,0.0,0.0,0.0,0.0
2020-12-28,40000,"[12, 18)",first,0.0,0.0,0.0,0.0
2020-12-28,40000,"[12, 18)",full,0.0,0.0,0.0,0.0
2020-12-28,40000,"[12, 18)",none,1.0,1.0,1.0,1.0
2020-12-28,40000,"[12, 18)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,40000,"[18, 25)",booster,0.0,0.0,0.0,0.0
2020-12-28,40000,"[18, 25)",first,0.0,0.0,0.0,0.0
2020-12-28,40000,"[18, 25)",full,0.0,0.0,0.0,0.0
2020-12-28,40000,"[18, 25)",none,1.0,1.0,1.0,1.0
2020-12-28,40000,"[18, 25)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,40000,"[25, 35)",booster,0.0,0.0,0.0,0.0
2020-12-28,40000,"[25, 35)",first,6.161081475168275e-05,0.0,0.0,0.0
2020-12-28,40000,"[25, 35)",full,0.0,0.0,0.0,0.0
2020-12-28,40000,"[25, 35)",none,0.9999383891852484,1.0,1.0,1.0
2020-12-28,40000,"[25, 35)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,40000,"[35, 45)",booster,0.0,0.0,0.0,0.0
2020-12-28,40000,"[35, 45)",first,7.036625636437658e-05,0.0,0.0,0.0
2020-12-28,40000,"[35, 45)",full,0.0,0.0,0.0,0.0
2020-12-28,40000,"[35, 45)",none,0.9999296337436356,1.0,1.0,1.0
2020-12-28,40000,"[35, 45)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,40000,"[45, 55)",booster,0.0,0.0,0.0,0.0
2020-12-28,40000,"[45, 55)",first,0.0,0.0,0.0,0.0
2020-12-28,40000,"[45, 55)",full,0.0,0.0,0.0,0.0
2020-12-28,40000,"[45, 55)",none,1.0,1.0,1.0,1.0
2020-12-28,40000,"[45, 55)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,40000,"[55, 65)",booster,0.0,0.0,0.0,0.0
2020-12-28,40000,"[55, 65)",first,0.00023549382564625883,0.0,0.0,0.0
2020-12-28,40000,"[55, 65)",full,0.0,0.0,0.0,0.0
2020-12-28,40000,"[55, 65)",none,0.9997645061743538,1.0,1.0,1.0
2020-12-28,40000,"[55, 65)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,40000,"[65, 75)",booster,0.0,0.0,0.0,0.0
2020-12-28,40000,"[65, 75)",first,0.000586278533284052,0.0,0.0,0.0
2020-12-28,40000,"[65, 75)",full,0.0,0.0,0.0,0.0
2020-12-28,40000,"[65, 75)",none,0.9994137214667159,1.0,1.0,1.0
2020-12-28,40000,"[65, 75)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,40000,"[75, 85)",booster,0.0,0.0,0.0,0.0
2020-12-28,40000,"[75, 85)",first,0.004733370260335364,0.0,0.0,0.0
2020-12-28,40000,"[75, 85)",full,0.0,0.0,0.0,0.0
2020-12-28,40000,"[75, 85)",none,0.9952666297396646,1.0,1.0,1.0
2020-12-28,40000,"[75, 85)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,40000,"[85, 120)",booster,0.0,0.0,0.0,0.0
2020-12-28,40000,"[85, 120)",first,0.020609712719435902,0.0,0.0,0.0
2020-12-28,40000,"[85, 120)",full,0.0,0.0,0.0,0.0
2020-12-28,40000,"[85, 120)",none,0.9793902872805641,1.0,1.0,1.0
2020-12-28,40000,"[85, 120)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,50000,"[0, 12)",booster,0.0,0.0,0.0,0.0
2020-12-28,50000,"[0, 12)",first,0.0,0.0,0.0,0.0
2020-12-28,50000,"[0, 12)",full,0.0,0.0,0.0,0.0
2020-12-28,50000,"[0, 12)",none,1.0,1.0,1.0,1.0
2020-12-28,50000,"[0, 12)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,50000,"[12, 18)",booster,0.0,0.0,0.0,0.0
2020-12-28,50000,"[12, 18)",first,0.0,0.0,0.0,0.0
2020-12-28,50000,"[12, 18)",full,0.0,0.0,0.0,0.0
2020-12-28,50000,"[12, 18)",none,1.0,1.0,1.0,1.0
2020-12-28,50000,"[12, 18)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,50000,"[18, 25)",booster,0.0,0.0,0.0,0.0
2020-12-28,50000,"[18, 25)",first,8.87453186844394e-05,0.0,0.0,0.0
2020-12-28,50000,"[18, 25)",full,0.0,0.0,0.0,0.0
2020-12-28,50000,"[18, 25)",none,0.9999112546813156,1.0,1.0,1.0
2020-12-28,50000,"[18, 25)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,50000,"[25, 35)",booster,0.0,0.0,0.0,0.0
2020-12-28,50000,"[25, 35)",first,0.0011902839335594276,0.0,0.0,0.0
2020-12-28,50000,"[25, 35)",full,0.0,0.0,0.0,0.0
2020-12-28,50000,"[25, 35)",none,0.9988097160664405,1.0,1.0,1.0
2020-12-28,50000,"[25, 35)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,50000,"[35, 45)",booster,0.0,0.0,0.0,0.0
2020-12-28,50000,"[35, 45)",first,0.00157208543634236,0.0,0.0,0.0
2020-12-28,50000,"[35, 45)",full,0.0,0.0,0.0,0.0
2020-12-28,50000,"[35, 45)",none,0.9984279145636576,1.0,1.0,1.0
2020-12-28,50000,"[35, 45)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,50000,"[45, 55)",booster,0.0,0.0,0.0,0.0
2020-12-28,50000,"[45, 55)",first,0.001691593051043149,0.0,0.0,0.0
2020-12-28,50000,"[45, 55)",full,0.0,0.0,0.0,0.0
2020-12-28,50000,"[45, 55)",none,0.9983084069489568,1.0,1.0,1.0
2020-12-28,50000,"[45, 55)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,50000,"[55, 65)",booster,0.0,0.0,0.0,0.0
2020-12-28,50000,"[55, 65)",first,0.0019714172423614565,0.0,0.0,0.0
2020-12-28,50000,"[55, 65)",full,0.0,0.0,0.0,0.0
2020-12-28,50000,"[55, 65)",none,0.9980285827576385,1.0,1.0,1.0
2020-12-28,50000,"[55, 65)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,50000,"[65, 75)",booster,0.0,0.0,0.0,0.0
2020-12-28,50000,"[65, 75)",first,0.00283111597192419,0.0,0.0,0.0
2020-12-28,50000,"[65, 75)",full,0.0,0.0,0.0,0.0
2020-12-28,50000,"[65, 75)",none,0.9971688840280758,1.0,1.0,1.0
2020-12-28,50000,"[65, 75)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,50000,"[75, 85)",booster,0.0,0.0,0.0,0.0
2020-12-28,50000,"[75, 85)",first,0.009960868018498754,0.0,0.0,0.0
2020-12-28,50000,"[75, 85)",full,0.0,0.0,0.0,0.0
2020-12-28,50000,"[75, 85)",none,0.9900391319815013,1.0,1.0,1.0
2020-12-28,50000,"[75, 85)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,50000,"[85, 120)",booster,0.0,0.0,0.0,0.0
2020-12-28,50000,"[85, 120)",first,0.03937644964669077,0.0,0.0,0.0
2020-12-28,50000,"[85, 120)",full,0.0,0.0,0.0,0.0
2020-12-28,50000,"[85, 120)",none,0.9606235503533093,1.0,1.0,1.0
2020-12-28,50000,"[85, 120)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,60000,"[0, 12)",booster,0.0,0.0,0.0,0.0
2020-12-28,60000,"[0, 12)",first,0.0,0.0,0.0,0.0
2020-12-28,60000,"[0, 12)",full,0.0,0.0,0.0,0.0
2020-12-28,60000,"[0, 12)",none,1.0,1.0,1.0,1.0
2020-12-28,60000,"[0, 12)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,60000,"[12, 18)",booster,0.0,0.0,0.0,0.0
2020-12-28,60000,"[12, 18)",first,0.0,0.0,0.0,0.0
2020-12-28,60000,"[12, 18)",full,0.0,0.0,0.0,0.0
2020-12-28,60000,"[12, 18)",none,1.0,1.0,1.0,1.0
2020-12-28,60000,"[12, 18)",weighted_sum,1.0,1.0,1.0,1.0
2020-12-28,60000,"[18, 25)",booster,0.0,0.0,0.0,0.0
